14:01:37.254 0 mac_scan.c:194	<< zb_mlme_ed_scan, ret 0
14:01:37.254 0 mac_scan.c:92	<< zb_handle_scan_request i
14:01:37.254 0 zb_scheduler.c:105	cb_q written 1, read_i 3, write_i 4
14:01:37.254 0 zb_scheduler.c:115	0x56095bc29570 calling cb 0x56095b9fa3bf param 3 in_b 0 len 0
14:01:37.254 0 nwk_discovery.c:354	>>zb_mlme_scan_confirm 3
14:01:37.254 0 nwk_discovery.c:356	nwk state 2
14:01:37.254 0 nwk_cr_formation.c:139	>>nwk_form_ed_scan_conf buf 0x56095bc29cd0
14:01:37.254 0 nwk_cr_formation.c:151	ch 0 e_level 0 
14:01:37.254 0 nwk_cr_formation.c:151	ch 1 e_level 0 
14:01:37.254 0 nwk_cr_formation.c:151	ch 2 e_level 0 
14:01:37.254 0 nwk_cr_formation.c:151	ch 3 e_level 0 
14:01:37.254 0 nwk_cr_formation.c:151	ch 4 e_level 0 
14:01:37.254 0 nwk_cr_formation.c:151	ch 5 e_level 0 
14:01:37.254 0 nwk_cr_formation.c:151	ch 6 e_level 0 
14:01:37.254 0 nwk_cr_formation.c:151	ch 7 e_level 0 
14:01:37.254 0 nwk_cr_formation.c:151	ch 8 e_level 0 
14:01:37.254 0 nwk_cr_formation.c:151	ch 9 e_level 0 
14:01:37.254 0 nwk_cr_formation.c:151	ch 10 e_level 0 
14:01:37.254 0 nwk_cr_formation.c:151	ch 11 e_level 0 
14:01:37.254 0 nwk_cr_formation.c:151	ch 12 e_level 0 
14:01:37.254 0 nwk_cr_formation.c:151	ch 13 e_level 0 
14:01:37.254 0 nwk_cr_formation.c:151	ch 14 e_level 0 
14:01:37.254 0 nwk_cr_formation.c:151	ch 15 e_level 0 
14:01:37.254 0 nwk_cr_formation.c:162	ch mask for as 0x1800
14:01:37.254 0 nwk_neighbor.c:80	>>exnb_start
14:01:37.254 0 nwk_neighbor.c:131	cut 16
14:01:37.255 0 nwk_neighbor.c:146	new base n size 16
14:01:37.255 0 nwk_neighbor.c:155	cut 208, off 208, ext n size 14 ext n 0x56095bc2aa08
14:01:37.255 0 nwk_neighbor.c:159	<<exnb_start
14:01:37.255 0 zb_scheduler.c:254	0x56095bc29580 scheduled cb 0x56095ba1939e param 3 (in_b 0)
14:01:37.255 0 nwk_cr_formation.c:180	<<nwk_form_ed_scan_conf
14:01:37.255 0 nwk_discovery.c:495	<<zb_mlme_scan_confirm
14:01:37.255 0 zb_scheduler.c:105	cb_q written 1, read_i 4, write_i 5
14:01:37.255 0 zb_scheduler.c:115	0x56095bc29580 calling cb 0x56095ba1939e param 3 in_b 0 len 0
14:01:37.255 0 mac_scan.c:104	>> zb_mlme_scan_request 3
14:01:37.255 0 zb_scheduler.c:254	0x56095bc29590 scheduled cb 0x56095ba1927a param 3 (in_b 0)
14:01:37.255 0 mac_scan.c:136	<< zb_mlme_scan_request
14:01:37.255 0 zb_scheduler.c:105	cb_q written 1, read_i 5, write_i 6
14:01:37.255 0 zb_scheduler.c:115	0x56095bc29590 calling cb 0x56095ba1927a param 3 in_b 0 len 0
14:01:37.255 0 mac_scan.c:67	>> zb_handle_scan_request
14:01:37.255 0 mac_scan.c:360	>> zb_mlme_active_scan
14:01:37.255 0 mac_scan.c:365	idle state, set beacon found == 0
14:01:37.255 0 mac_scan.c:372	set beacon mode ret 0, param channels 0x1800
14:01:37.255 0 mac_scan.c:385	chan mask 1800 0 , chan 11
14:01:37.255 0 zb_scheduler.c:254	0x56095bc295a0 scheduled cb 0x56095ba196ed param 0 (in_b 255)
14:01:37.255 0 mac_scan.c:387	<< zb_mlme_active_scan, ret 0
14:01:37.255 0 mac_scan.c:92	<< zb_handle_scan_request i
14:01:37.255 0 zb_scheduler.c:105	cb_q written 1, read_i 6, write_i 7
14:01:37.255 0 zb_scheduler.c:115	0x56095bc295a0 calling cb 0x56095ba196ed param 0 in_b 255 len -1
14:01:37.255 0 mac_scan.c:208	>> zb_mlme_scan_step
14:01:37.255 0 mac_scan.c:257	set channel 11
14:01:37.255 0 mac_routines.c:225	+zb_beacon_request_command
14:01:37.255 0 mac.c:578	>>mac_fill_mhr
14:01:37.255 0 mac.c:629	<<mac_fill_mhr
14:01:37.255 0 zb_mac_transport_linux_pipes.c:199	>>zb_mac_put_data buf 0x56095bc29af0
14:01:37.255 0 zb_mac_transport_linux_pipes.c:149	>>zb_mac_traffic_dump #1 buf 0x56095bc29af0 / 0 in_b 0 (size 11) is_w 1
14:01:37.255 0 zb_mac_transport_linux_pipes.c:182	t: start 1553770897; t 1553770897 255773, time 16
14:01:37.255 0 zb_mac_transport_linux_pipes.c:192	<<zb_mac_traffic_dump
14:01:37.255 0 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
14:01:37.255 0 zb_mac_transport_linux_pipes.c:381	open wpipe /tmp/zt0.read. wait if nessesary
14:01:37.256 0 zb_mac_transport_linux_pipes.c:79	written: len 11 total 11
14:01:37.256 0 zb_mac_transport_linux_pipes.c:93	0B 03 08 39 FF FF FF FF 07 9B CB 
14:01:37.256 0 zb_mac_transport_linux_pipes.c:446	out buffer is sent
14:01:37.256 0 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 11
14:01:37.256 0 zb_mac_transport_linux_pipes.c:225	<<zb_mac_put_data ret
14:01:37.256 0 mac_routines.c:272	<< zb_beacon_request_command ret 0
14:01:37.256 0 zb_scheduler.c:283	tm_freelist, get nent 0x56095bc29848
14:01:37.256 0 zb_scheduler.c:294	0x56095bc29848 scheduled alarm 0x56095ba196ed, run_after 257, at 257, param 0
14:01:37.256 0 zb_scheduler.c:349	cur t 0, head t 130
14:01:37.256 0 mac_scan.c:338	<< zb_mlme_scan_step
14:01:37.256 0 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
14:01:37.256 0 zb_mac_transport_linux_pipes.c:485	open rpipe 6. ret 0
14:01:37.256 0 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
14:01:37.256 0 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
14:01:37.256 0 zb_mac_transport_linux_pipes.c:507	timer started = 1
14:01:37.256 0 zb_mac_transport_linux_pipes.c:513	timer stop 130 timer 0  tmo 130
14:01:37.256 0 zb_mac_transport_linux_pipes.c:529	select() timeout 1.989000
14:01:39.247 0 zb_mac_transport_linux_pipes.c:548	delta 1992 (130)
14:01:39.247 130 zb_mac_transport_linux_pipes.c:569	timer 130, delta_rest 0
14:01:39.247 130 zb_mac_transport_linux_pipes.c:590	timeout
14:01:39.247 130 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
14:01:39.247 130 zb_scheduler.c:145	0x56095bc29888 calling alarm cb 0x56095ba030a9 param 0
14:01:39.247 130 nwk_cr_mesh_routing.c:736	>> exp_r_disc
14:01:39.247 130 zb_scheduler.c:283	tm_freelist, get nent 0x56095bc29828
14:01:39.247 130 zb_scheduler.c:294	0x56095bc29828 scheduled alarm 0x56095ba030a9, run_after 130, at 260, param 0
14:01:39.247 130 zb_scheduler.c:349	cur t 130, head t 257
14:01:39.247 130 nwk_cr_mesh_routing.c:784	<< exp_r_disc
14:01:39.248 130 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
14:01:39.248 130 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
14:01:39.248 130 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
14:01:39.248 130 zb_mac_transport_linux_pipes.c:507	timer started = 1
14:01:39.248 130 zb_mac_transport_linux_pipes.c:524	default timeout 1
14:01:39.248 130 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
14:01:40.248 130 zb_mac_transport_linux_pipes.c:548	delta 1000 (65)
14:01:40.248 195 zb_mac_transport_linux_pipes.c:569	timer 195, delta_rest 0
14:01:40.248 195 zb_mac_transport_linux_pipes.c:590	timeout
14:01:40.248 195 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
14:01:40.248 195 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
14:01:40.248 195 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
14:01:40.248 195 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
14:01:40.248 195 zb_mac_transport_linux_pipes.c:507	timer started = 1
14:01:40.248 195 zb_mac_transport_linux_pipes.c:513	timer stop 257 timer 195  tmo 62
14:01:40.248 195 zb_mac_transport_linux_pipes.c:529	select() timeout 0.948000
14:01:41.197 195 zb_mac_transport_linux_pipes.c:548	delta 950 (62)
14:01:41.197 257 zb_mac_transport_linux_pipes.c:569	timer 257, delta_rest 0
14:01:41.197 257 zb_mac_transport_linux_pipes.c:590	timeout
14:01:41.197 257 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
14:01:41.197 257 zb_scheduler.c:145	0x56095bc29848 calling alarm cb 0x56095ba196ed param 0
14:01:41.197 257 mac_scan.c:208	>> zb_mlme_scan_step
14:01:41.197 257 mac_scan.c:257	set channel 12
14:01:41.197 257 mac_routines.c:225	+zb_beacon_request_command
14:01:41.197 257 mac.c:578	>>mac_fill_mhr
14:01:41.197 257 mac.c:629	<<mac_fill_mhr
14:01:41.197 257 zb_mac_transport_linux_pipes.c:199	>>zb_mac_put_data buf 0x56095bc29af0
14:01:41.197 257 zb_mac_transport_linux_pipes.c:149	>>zb_mac_traffic_dump #2 buf 0x56095bc29af0 / 0 in_b 0 (size 11) is_w 1
14:01:41.197 257 zb_mac_transport_linux_pipes.c:182	t: start 1553770897; t 1553770901 197891, time 274
14:01:41.197 257 zb_mac_transport_linux_pipes.c:192	<<zb_mac_traffic_dump
14:01:41.197 257 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
14:01:41.197 257 zb_mac_transport_linux_pipes.c:79	written: len 11 total 11
14:01:41.198 257 zb_mac_transport_linux_pipes.c:93	0B 03 08 3A FF FF FF FF 07 E6 C7 
